PETERS_SST_SPG_data-MEAN-- YEAR(linear_forcing)--- INTEGRATED_CWG_FROM_1871--- CWG---- NORTH_HEMISPH_TEMP_HADCRUT----
0.34448683166666666 1871 -0.512250924526006 -0.512250924526006 -0.441
0.2332369320833333 1872 -0.6761172771300059 -0.163866352604 -0.357
0.33486762083333327 1873 -0.978400374853333 -0.302283097723327 -0.376
0.43509883166666663 1874 -1.169317448918909 -0.190917074065576 -0.294
0.30452177666666663 1875 -1.493832487224951 -0.324515038306042 -0.484
0.4532607166666666 1876 -1.1343165758611922 0.359515911363759 -0.435
0.16020334241666664 1877 -1.5418439775037491 -0.407527401642557 -0.101
0.16437645650000002 1878 -1.654479710227223 -0.112635732723474 0.071
0.30002621 1879 -2.126774431972644 -0.472294721745421 -0.336
0.26176612465 1880 -1.568879667271045 0.557894764701599 -0.384
0.18255084916666667 1881 -2.0985201789479637 -0.529640511676919 -0.284
0.11254076325000001 1882 -2.2924824493415636 -0.1939622703936 -0.373
0.03604613058333334 1883 -2.7058657476489154 -0.413383298307352 -0.427
0.028428390249999994 1884 -2.8780172027014754 -0.17215145505256 -0.634
0.13461944866666667 1885 -3.3577836724979373 -0.479766469796462 -0.51
0.23352403908333333 1886 -3.8925637005850224 -0.534780028087085 -0.445
0.45421929999999994 1887 -4.42750009636981 -0.534936395784788 -0.494
0.5394581425 1888 -4.918824986599193 -0.491324890229383 -0.372
0.24144338733333337 1889 -2.8430415229726633 2.07578346362653 -0.26
0.45409784833333333 1890 -3.2388155799613894 -0.395774056988726 -0.524
0.32114698283333337 1891 -2.8824618347552704 0.356353745206119 -0.412
0.3537422496666667 1892 -3.3835524692502013 -0.501090634494931 -0.576
0.5182777658333334 1893 -3.0327727169215923 0.350779752328609 -0.557
0.2477316575 1894 -3.108448038378913 -0.0756753214573207 -0.443
0.16492195100833332 1895 -2.4111157417080813 0.697332296670832 -0.445
0.15644636215833332 1896 -2.8737315707354085 -0.462615829027327 -0.293
0.07757234962583333 1897 -2.4254762234824145 0.448255347252994 -0.252
0.3940881291666667 1898 -2.9819838204983506 -0.556507597015936 -0.43
0.4194568408333333 1899 -3.495363529012937 -0.513379708514586 -0.333
0.15782778568333333 1900 -3.84191913817436 -0.346555609161423 -0.198
0.1874772975 1901 -4.376699166261445 -0.534780028087085 -0.215
0.34545117666666664 1902 -4.195319582514457 0.181379583746988 -0.46
0.0871689931666667 1903 -4.708372041672691 -0.513052459158234 -0.505
0.06539877925 1904 -4.5410953118956465 0.167276729777044 -0.578
0.11511969850000002 1905 -5.097602908911583 -0.556507597015936 -0.404
0.159485381 1906 -5.148374663800943 -0.0507717548893596 -0.26
0.35087022999999995 1907 -5.161693037595604 -0.0133183737946612 -0.537
0.38936164058333333 1908 -5.350107313062166 -0.188414275466562 -0.478
0.55277685 1909 -5.544732465069535 -0.194625152007369 -0.494
0.4882220283333334 1910 -6.101240062085471 -0.556507597015936 -0.491
0.4058230941666667 1911 -6.557399993081612 -0.456159930996141 -0.453
0.02580346683333333 1912 -6.669983263370666 -0.112583270289054 -0.53
0.041519087499999996 1913 -7.1548446772462135 -0.484861413875548 -0.494
-0.07614142499166666 1914 -7.71135227426215 -0.556507597015936 -0.269
0.13448009216666668 1915 -7.469643472023951 0.241708802238199 -0.175
0.4212588875 1916 -7.1379019414010525 0.331741530622899 -0.443
0.46350495166666666 1917 -6.925709087988564 0.212192853412488 -0.584
0.30293995216666664 1918 -7.389766832210514 -0.464057744221949 -0.469
0.1308974064 1919 -7.94627442922645 -0.556507597015936 -0.372
-0.04969480208333334 1920 -8.459326888384684 -0.513052459158234 -0.309
-0.023576942999999993 1921 -8.945655570630954 -0.48632868224627 -0.163
0.11118176475000001 1922 -9.50216316764689 -0.556507597015936 -0.302
0.24416461583333338 1923 -9.199616290607857 0.302546877039033 -0.255
0.33022030333333335 1924 -9.756123887623792 -0.556507597015936 -0.192
0.19591917516666668 1925 -10.181432661443973 -0.425308773820181 -0.168
0.04115945628333333 1926 -10.737940258459908 -0.556507597015936 -0.001
0.2719703916666667 1927 -10.881624045827675 -0.143683787367767 -0.106
0.2117369608333333 1928 -10.292067240199026 0.589556805628649 -0.087
0.2561314678333333 1929 -8.954915947233616 1.33715129296541 -0.336
0.038081227333333335 1930 -8.304228287298544 0.650687659935072 -0.03
0.25737222983333335 1931 -7.220300609879214 1.08392767741933 0.046
0.4289287308333333 1932 -7.147603374378507 0.0726972355007065 -0.037
0.31534935449999996 1933 -6.918067831876603 0.229535542501904 -0.265
0.21312519083333337 1934 -7.025908337096858 -0.107840505220255 -0.053
0.14931076316666667 1935 -7.301423391400541 -0.275515054303683 -0.087
0.23010890491666666 1936 -7.770193149466812 -0.468769758066271 -0.061
0.06288445941666666 1937 -8.287641241042369 -0.517448091575557 0.122
0.151513275 1938 -8.844148838058304 -0.556507597015936 0.159
0.09994646475 1939 -9.357201297216537 -0.513052459158234 0.053
0.05269965485 1940 -9.696316006590918 -0.33911470937438 0.122
-0.028524591000000002 1941 -10.184195046099182 -0.487879039508264 0.075
0.11316518824999999 1942 -10.627561093121383 -0.4433660470222 0.06
-0.09744749416666669 1943 -10.191273425580516 0.436287667540868 0.112
0.0023728539999999985 1944 -10.01562795089901 0.175645474681506 0.22
0.00722118791666667 1945 -9.914326186695067 0.101301764203943 0.084
0.02623925998333333 1946 -10.328944388457225 -0.414618201762158 -0.011
-0.14916694741666667 1947 -10.794360614830827 -0.465416226373602 0.044
0.07374994541666668 1948 -11.10556591083925 -0.311205296008423 -0.001
